M0,M_best,M_change_pct_best,M_max_change_pct,M_max_with_theta_cap,T0_days,T_best_days,T_change_pct_best,T_for_max_M_days,T_max_days,T_min_days,c_i,c_j,contest_id,has_pareto_opportunity,lambda,mu0,n_feasible_grid_points,r,sigma,status,strict_theta_reduction,theta0,theta_best,theta_for_max_M,theta_min_used,theta_reduction_pct_best
6.626863920976759,6.626863920976741,-2.6805391820063605e-13,90.07003304673205,12.59568244456249,64.08333333333333,192.25,200.00000000000003,192.25,192.25,16.020833333333332,4.231,4.571,5497,True,25.292,0.642,14,3.005,0.652,ok,True,4.0,1.0031413154484787,4.0,0.01,74.92146711378803
7.924201457521788,7.92420145752151,-3.5082379827970804e-12,80.24395107491874,14.28289379817357,28.041666666666668,84.125,199.99999999999997,84.125,84.125,7.010416666666667,3.753,3.536,6322,True,9.106,-0.405,14,5.852,2.653,ok,True,10.0,5.549869770207623,10.0,0.01,44.50130229792377
6.347442473530478,6.347442473515995,-2.2816492425137222e-10,108.8610479928067,13.257334870956289,22.291666666666668,66.875,199.99999999999997,66.875,66.875,5.572916666666667,3.925,4.247,6927,True,18.477,-0.601,14,4.178,0.918,ok,True,4.0,1.9610916756292143,4.0,0.01,50.97270810926964
8.976073855809334,8.976073864719199,9.926238341000289e-08,64.53825654341163,14.769075428397663,60.333333333333336,181.0,199.99999999999997,181.0,181.0,15.083333333333334,4.314,3.226,7115,True,15.827,0.444,14,3.401,0.848,ok,True,4.0,1.4797926724670014,4.0,0.01,63.00518318832496
4.998246628301479,4.998246628314879,2.6809296968543955e-10,57.00193578919077,7.847343961951281,52.625,157.875,200.0,157.875,157.875,13.15625,1.209,4.01,7162,True,20.424,-1.269,14,8.932,0.808,ok,True,1.0,0.4578695299728006,1.0,0.01,54.21304700271994
3.6911333605115475,3.691133360511532,-4.2109349152852334e-13,99.69037309243843,7.370837978944969,39.25,117.75,200.0,117.75,117.75,9.8125,3.767,4.307,7634,True,23.259,0.761,14,8.242,0.568,ok,True,2.0,0.6245952248603963,2.0,0.01,68.77023875698018
7.756517827879316,7.756517828738113,1.1071946157200364e-08,78.69259652539279,13.860323106592546,56.291666666666664,168.875,200.00000000000003,168.875,168.875,14.072916666666666,3.815,3.285,7878,True,9.554,-0.612,14,1.45,1.484,ok,True,4.0,2.1324451408106277,4.0,0.01,46.6888714797343
5.74434541840496,5.7443454184049445,-2.6285036910427816e-13,117.85804353240876,12.514518542280605,38.458333333333336,115.375,199.99999999999997,115.375,115.375,9.614583333333334,4.321,4.419,8076,True,22.88,-1.387,14,2.903,0.806,ok,True,6.0,1.4916931679385272,6.0,0.01,75.13844720102456
5.101521266121589,5.101521248518562,-3.450544587322804e-07,91.25284968135429,9.756804798557845,32.166666666666664,96.5,200.00000000000003,96.5,96.5,8.041666666666666,3.587,3.088,8078,True,8.066,1.664,14,10.469,1.796,ok,True,4.0,2.1359299900751103,4.0,0.01,46.601750248122244
2.0647961857808586,2.0647961910331207,2.543719431923703e-07,75.47409691975706,3.6231824602325506,27.5,82.5,200.0,82.5,82.5,6.875,2.601,1.94,8219,True,15.559,-0.087,14,14.337,0.604,ok,True,0.4,0.21188466287974558,0.4,0.01,47.028834280063606
3.0366891132402807,3.03668911136984,-6.15947376063407e-08,147.51479496627383,7.516254832399841,86.04166666666667,258.125,199.99999999999997,258.125,258.125,21.510416666666668,0.88,0.767,8396,True,13.606,7.016,14,16.517,1.385,ok,True,0.5,0.20311608425699346,0.5,0.01,59.376783148601305
,,,,,,,,,,,,,8540,,,,,,,missing_json,,,,,,
16.448063655441274,16.448063655441207,-4.1039213679647305e-13,70.91520714229388,28.112242067593808,85.25,255.75,200.0,255.75,255.75,21.3125,4.69,4.746,9120,True,28.586,-0.006,14,1.789,0.876,ok,True,10.0,2.643642244581527,10.0,0.01,73.56357755418473
11.601762752519775,11.601762752506351,-1.1570593987911159e-10,47.88334691443465,17.15707505949848,50.166666666666664,150.5,200.00000000000003,150.5,150.5,12.541666666666666,4.539,3.565,9949,True,21.022,1.016,14,3.2,0.923,ok,True,5.0,2.2888345487880795,5.0,0.01,54.22330902423842
2.835054884751625,2.8350548847660533,5.089304798165342e-10,173.66657461932678,7.758597591677675,48.083333333333336,144.25,199.99999999999997,144.25,144.25,12.020833333333334,3.619,3.583,10200,True,15.905,-7.127,14,6.466,1.513,ok,True,4.0,1.3884901662293685,4.0,0.01,65.28774584426579
0.9519611081493996,0.9519611102294655,2.1850324340945519e-07,341.1566035886142,4.199639292196426,67.20833333333333,201.625,200.00000000000003,201.625,201.625,16.802083333333332,4.45,3.642,10684,True,18.929,-7.058,14,4.785,0.659,ok,True,4.0,0.3539904616025664,4.0,0.01,91.15023845993584
4.381048459883555,4.381048459921072,8.563396819657743e-10,88.53958134257876,8.26001042467995,16.875,50.625,200.0,50.625,50.625,4.21875,3.975,3.913,13333,True,19.948,0.168,14,6.246,0.638,ok,True,2.0,1.0265232349548623,2.0,0.01,48.673838252256886
6.29128494044339,6.291284940443237,-2.4282271369774428e-12,84.35022949521633,11.597998225905373,71.125,213.375,200.0,213.375,213.375,17.78125,4.266,4.663,14242,True,31.135,0.383,14,5.096,0.558,ok,True,3.0,0.7631540433385072,3.0,0.01,74.56153188871643
19.072718575187967,19.072718574293482,-4.689863602578642e-09,44.90833132930351,27.637958226438993,61.375,184.125,200.0,184.125,184.125,15.34375,3.144,4.609,14420,True,13.393,-3.492,15,1.464,1.571,ok,True,20.0,5.2759724772165635,20.0,0.01,73.6201376139172
4.086233407759843,4.0862334077598215,-5.216609024908597e-13,148.66222269841373,10.16091881638076,74.70833333333333,224.125,200.00000000000003,224.125,224.125,18.677083333333332,4.269,4.344,18045,True,26.932,-3.178,14,3.532,0.654,ok,True,4.0,0.769768352119614,4.0,0.01,80.75579119700966
9.756618751681886,9.756618751681867,-2.0027353462012015e-13,129.65999452265072,22.407050090708534,84.91666666666667,254.75,199.99999999999997,254.75,254.75,21.229166666666668,4.634,4.36,19018,True,29.425,1.891,14,2.918,0.835,ok,True,8.0,1.7323098037935496,8.0,0.01,78.34612745258063
6.760456224235735,6.760456224165178,-1.0436705944198958e-09,70.11675047914281,11.500668446234785,50.041666666666664,150.125,200.00000000000003,150.125,150.125,12.510416666666666,4.599,3.99,19991,True,24.46,0.062,14,3.472,0.658,ok,True,4.0,1.0528633931818248,4.0,0.01,73.67841517045439
7.505402745027158,7.505402745028046,1.182202036883784e-11,60.01204368240798,12.009548318913504,27.083333333333332,81.25,200.00000000000003,81.25,81.25,6.770833333333333,3.707,4.25,20270,True,18.848,-0.255,14,3.938,0.815,ok,True,4.0,1.7764962852047432,4.0,0.01,55.58759286988142
3.846983201690241,3.8469832016295546,-1.577510576500223e-09,123.45264561709867,8.59618574062221,38.166666666666664,114.5,200.00000000000003,114.5,114.5,9.541666666666666,1.917,2.52,21669,True,17.621,-1.649,14,14.959,0.831,ok,True,1.0,0.4839411683161036,1.0,0.01,51.60588316838963
5.005324484244158,5.005324495289399,2.2066981496843798e-07,127.85791807953575,11.405028162924,24.708333333333332,74.125,200.00000000000003,74.125,74.125,6.177083333333333,3.76,4.158,22962,True,17.168,-1.295,14,4.583,0.879,ok,True,4.0,1.5539301848859575,4.0,0.01,61.151745377851064
5.075422051840637,5.075422071826094,3.93769358309001e-07,54.96862644314242,7.865311839929792,43.458333333333336,130.375,199.99999999999997,130.375,130.375,10.864583333333334,2.978,2.075,23249,True,24.123,0.538,14,7.226,0.532,ok,True,1.0,0.4006046167350023,1.0,0.01,59.939538326499765
3.9015698457952883,3.901569845795274,-3.642342768902883e-13,66.42123309952403,6.493040647611717,29.041666666666668,87.125,199.99999999999997,87.125,87.125,7.260416666666667,2.862,3.456,23652,True,20.607,-0.193,14,14.124,0.643,ok,True,1.0,0.5570126519498246,1.0,0.01,44.29873480501754
7.801618638285274,7.8016186375987395,-8.799896748709575e-09,66.50119057886812,12.98978791716786,74.20833333333333,222.625,200.00000000000003,222.625,222.625,18.552083333333332,4.311,2.254,37077,True,19.329,0.584,14,3.507,0.886,ok,True,4.0,1.0790126508200497,4.0,0.01,73.02468372949875
9.346524494062287,9.346524495058654,1.0660298741385373e-08,83.96004438572295,17.19387060779945,76.875,230.625,200.0,230.625,230.625,19.21875,4.687,4.444,38128,True,25.657,-0.562,14,1.655,0.808,ok,True,8.0,1.572583769215674,8.0,0.01,80.34270288480407
6.808297366309823,6.808297364136097,-3.192760202827968e-08,71.31408592464689,11.663572400125481,25.708333333333332,77.125,200.00000000000003,77.125,77.125,6.427083333333333,4.192,3.255,38760,True,12.412,0.026,14,2.936,1.155,ok,True,5.0,2.331211834741916,5.0,0.01,53.37576330516167
